# Палитра мужских паков. Силуэты те же, что у женских, поэтому сетки
# переиспользуются как есть, а расходятся только цвета: своя растяжка
# кожи, свой контур, синие глаза вместо зелёных и своя тень на земле.
# Оружие, ресница и блик глаза совпадают с женскими и здесь не заданы.
o #552D24
h #795048
e #A46F59
s #BE865F
S #E1B26E
L #F6CA74
i #3F6AD4
j #374A8F
k #110B00
, #28293F59
R #C7152F4D

# Древко палки: у неё своя коричневая растяжка, ничего общего с мечом.
p #48301A
q #452E19
t #674725
u #5F4122
v #5D4022
x #825D32
y #9D7340
z #956D3C
A #78552D
B #6C4B27
C #7D5830
W #C4B18C
